date,quarter,year,morning_open,morning_close,morning_move,atr14_pre12,morning_z,abs_morning_z,direction,direction_str,bucket,bucket_label,p_ref_1200,mfe_atr,mae_atr,raw_ret_30m,signed_ret_30m,signed_atr_ret_30m,is_cont_30m,raw_ret_1h,signed_ret_1h,signed_atr_ret_1h,is_cont_1h,raw_ret_2h,signed_ret_2h,signed_atr_ret_2h,is_cont_2h,raw_ret_4h,signed_ret_4h,signed_atr_ret_4h,is_cont_4h,raw_ret_8h,signed_ret_8h,signed_atr_ret_8h,is_cont_8h,raw_ret_day_close,signed_ret_day_close,signed_atr_ret_day_close,is_cont_day_close
2018-04-02,2018Q2,2018,1329.43,1331.67,2.240000000000009,0.9550000000000247,2.345549738219844,2.345549738219844,1,POSITIVE,TIER_4_GE_2.0,|z| >= 2.0 (Extreme),1331.49,13.86387434554939,0.21989528795814758,0.11999999999989086,0.11999999999989086,0.12565445026166258,True,0.19000000000005457,0.19000000000005457,0.19895287958120383,True,1.4400000000000546,1.4400000000000546,1.5078534031413793,True,3.980000000000018,3.980000000000018,4.167539267015618,True,11.160000000000082,11.160000000000082,11.685863874345333,True,9.61999999999989,9.61999999999989,10.073298429318998,True
2018-04-03,2018Q2,2018,1338.31,1337.11,-1.2000000000000455,1.3649999999999929,-0.879120879120917,0.879120879120917,-1,NEGATIVE,TIER_1_0.5_TO_1.0,0.5 <= |z| < 1.0 (Mild),1336.94,5.97802197802207,3.040293040292956,0.4600000000000364,-0.4600000000000364,-0.3369963369963654,False,1.4800000000000182,-1.4800000000000182,-1.0842490842491033,False,0.5299999999999727,-0.5299999999999727,-0.3882783882783703,False,-2.7899999999999636,2.7899999999999636,2.043956043956028,True,-3.630000000000109,3.630000000000109,2.6593406593407534,True,-4.370000000000118,4.370000000000118,3.2014652014653047,True
2018-04-04,2018Q2,2018,1335.07,1341.9,6.830000000000155,1.84857142857142,3.6947449768161746,3.6947449768161746,1,POSITIVE,TIER_4_GE_2.0,|z| >= 2.0 (Extreme),1342.9,2.8454404945904255,5.83153013910369,-0.14000000000010004,-0.14000000000010004,-0.07573415765074998,False,0.31999999999993634,0.31999999999993634,0.17310664605869897,True,0.03999999999996362,0.03999999999996362,0.021638330757321994,True,1.349999999999909,1.349999999999909,0.7302936630602324,True,-6.75,-6.75,-3.6514683153014076,False,-9.870000000000118,-9.870000000000118,-5.339258114374123,False
2018-04-05,2018Q2,2018,1328.45,1326.08,-2.3700000000001182,1.3014285714285896,-1.821075740944083,1.821075740944083,-1,NEGATIVE,TIER_3_1.5_TO_2.0,1.5 <= |z| < 2.0 (Strong),1326.92,3.281009879253508,2.8507135016465304,-0.3200000000001637,0.3200000000001637,0.24588364434699392,True,1.2100000000000364,-1.2100000000000364,-0.9297475301866232,False,1.7300000000000182,-1.7300000000000182,-1.3293084522502698,False,-3.8900000000001,3.8900000000001,2.9890230515916927,True,-2.0399999999999636,2.0399999999999636,1.5675082327112564,True,-0.5399999999999636,0.5399999999999636,0.414928649835312,True
2018-04-06,2018Q2,2018,1327.76,1323.97,-3.7899999999999636,1.9928571428571493,-1.901792114695316,1.901792114695316,-1,NEGATIVE,TIER_3_1.5_TO_2.0,1.5 <= |z| < 2.0 (Strong),1324.78,2.33835125448032,5.293906810035803,1.0299999999999727,-1.0299999999999727,-0.5168458781361853,False,-0.5099999999999909,0.5099999999999909,0.2559139784946183,True,-1.3299999999999272,1.3299999999999272,0.6673835125447642,True,9.730000000000018,-9.730000000000018,-4.882437275985656,False,7.490000000000009,-7.490000000000009,-3.7584229390680925,False,8.120000000000118,-8.120000000000118,-4.074551971326211,False
2018-04-09,2018Q2,2018,1332.31,1328.79,-3.519999999999982,1.2371428571428527,-2.845265588914545,2.845265588914545,-1,NEGATIVE,TIER_4_GE_2.0,|z| >= 2.0 (Extreme),1328.88,1.7217090069285008,7.218244803695044,-1.4100000000000819,1.4100000000000819,1.1397228637414099,True,-1.7600000000002183,1.7600000000002183,1.4226327944574564,True,-0.7600000000002183,0.7600000000002183,0.6143187066976382,True,4.5499999999999545,-4.5499999999999545,-3.677829099307136,False,7.209999999999809,-7.209999999999809,-5.827944572748135,False,7.189999999999827,-7.189999999999827,-5.811778290992953,False
2018-04-10,2018Q2,2018,1333.84,1336.29,2.4500000000000455,1.7557142857142967,1.3954434499593338,1.3954434499593338,1,POSITIVE,TIER_2_1.0_TO_1.5,1.0 <= |z| < 1.5 (Moderate),1336.12,3.6110659072417204,0.9283970707891864,-0.9499999999998181,-0.9499999999998181,-0.5410903173310566,False,-0.8799999999998818,-0.8799999999998818,-0.5012205044751126,False,1.0,1.0,0.5695687550854318,True,3.410000000000082,3.410000000000082,1.942229454841369,True,6.040000000000191,6.040000000000191,3.4401952807161167,True,3.240000000000009,3.240000000000009,1.845402766476804,True
2018-04-11,2018Q2,2018,1341.68,1343.18,1.5,1.2314285714285884,1.2180974477958069,1.2180974477958069,1,POSITIVE,TIER_2_1.0_TO_1.5,1.0 <= |z| < 1.5 (Moderate),1343.34,17.703016241299206,0.1624129930392932,2.1200000000001182,2.1200000000001182,1.7215777262181697,True,3.1900000000000546,3.1900000000000546,2.5904872389791267,True,7.3400000000001455,7.3400000000001455,5.960556844547599,True,7.25,7.25,5.887470997679733,True,12.990000000000009,12.990000000000009,10.548723897911694,True,9.650000000000091,9.650000000000091,7.8364269141530984,True
2018-04-12,2018Q2,2018,1349.43,1346.78,-2.650000000000091,1.7535714285714252,-1.511201629327957,1.511201629327957,-1,NEGATIVE,TIER_3_1.5_TO_2.0,1.5 <= |z| < 2.0 (Strong),1346.91,7.567413441955198,1.1120162932789208,0.599999999999909,-0.599999999999909,-0.34215885947041724,False,-0.2300000000000182,0.2300000000000182,0.13116089613035686,True,-0.75,0.75,0.42769857433808633,True,-4.870000000000118,4.870000000000118,2.777189409368708,True,-7.9500000000000455,7.9500000000000455,4.533604887983741,True,-12.100000000000136,12.100000000000136,6.900203665987871,True
2018-04-13,2018Q2,2018,1340.34,1340.99,0.650000000000091,1.5200000000000142,0.42763157894742426,0.42763157894742426,1,POSITIVE,TIER_0_LT_0.5,|z| < 0.5 (Baseline/Quiet),1340.76,4.118421052631534,4.986842105263063,-0.2699999999999818,-0.2699999999999818,-0.1776315789473548,False,0.4700000000000273,0.4700000000000273,0.30921052631580453,True,-3.339999999999918,-3.339999999999918,-2.1973684210525573,False,-0.7000000000000455,-0.7000000000000455,-0.46052631578949926,False,3.7899999999999636,3.7899999999999636,2.4934210526315317,True,4.1099999999999,4.1099999999999,2.7039473684209616,True
