bucket,event_count,mean_mfe_atr,median_mfe_atr,p25_mfe_atr,p75_mfe_atr,mean_mae_atr,median_mae_atr,p25_mae_atr,p75_mae_atr,median_mfe_mae_ratio
TIER_0_LT_0.5,420,4.083996739787739,3.075744253234555,1.4331835971620865,5.28294377084199,3.710316951022436,2.8087937518079285,1.3121295016911163,5.056380807011646,1.0950409766665137
TIER_1_0.5_TO_1.0,364,3.9532941397810073,2.9676191904196476,1.3899970282954273,5.114521751702883,3.558275964960708,2.5999068064929407,1.1963323860046997,5.1364966352902,1.1414329094444429
TIER_2_1.0_TO_1.5,343,3.8198153282152583,2.849462365591377,1.1918516929514167,5.273739224446568,3.7532116536648106,3.1278890600923432,1.4395105576161833,5.126846995039988,0.9109857513639738
TIER_3_1.5_TO_2.0,307,3.97873187029285,2.9931226951061536,1.4696702081722854,5.654711354649609,3.4708099033643784,2.669983416252027,1.2146524535771195,4.699318487749407,1.1210266988503366
TIER_4_GE_2.0,695,3.614343670715894,2.707379134860003,1.1604044884410238,4.82440474821056,3.6601483251257134,2.8719512195122414,1.3428842988022829,4.983633847449786,0.9426967688259732
