quarter,total_events,strong_events_ge_1.5,mean_signed_atr_1h,mean_signed_atr_2h,mean_signed_atr_4h,mean_signed_atr_8h,cont_prob_2h,cont_prob_4h,strong_mean_atr_4h
2018Q2,65,29,0.09402359390430187,0.06823534286615014,0.3528683703714306,0.5703582562334938,50.76923076923077,49.23076923076923,0.281898656568793
2018Q3,65,31,0.14954759958351463,0.3073352073451962,0.5548359447080912,0.5279205375761193,55.38461538461539,53.84615384615385,0.007067643646214132
2018Q4,65,36,0.012838995489912429,-0.10254103494860999,0.26699614263904425,0.8941240769002967,44.61538461538462,46.15384615384615,0.1145395384924483
2019Q1,63,38,0.1918545417623548,0.023532705630042085,0.2835603709382357,0.46703679251333236,52.38095238095239,49.2063492063492,0.1971724823069159
2019Q2,64,32,-0.005075862837338119,0.3062949878664095,0.18565702843814777,0.3241991428340989,56.25,50.0,0.36221694696195095
2019Q3,66,33,0.06362297358713755,0.2126701107595632,0.3149020096166246,0.44006301433637385,51.515151515151516,51.515151515151516,-0.27112104216115834
2019Q4,65,37,-0.14239593182660312,-0.19254231206055897,-0.6264637106623152,-0.8200315285633032,41.53846153846154,38.46153846153847,-0.4484365816900153
2020Q1,64,31,-0.010422597691637517,-0.21287309148331854,0.12112356307959357,0.5070478913251008,39.0625,46.875,0.09565170896986215
2020Q2,64,32,0.04594746499323878,-0.10646989271404626,-0.22371295829741109,-0.09525851630672781,50.0,45.3125,-0.07349564860917157
2020Q3,66,34,-0.04470294425462727,-0.13190504183406446,0.127617359883135,0.25423779847518224,45.45454545454545,50.0,0.662509358859143
2020Q4,65,31,0.14410477237243588,0.2168920196660224,0.5548364473686129,0.7210688637209209,53.84615384615385,52.307692307692314,0.26886420672214834
2021Q1,63,33,-0.03270407345219918,-0.01517947493286392,0.32148459637528476,0.5835390142454275,49.2063492063492,53.96825396825397,0.839674462344129
2021Q2,64,21,0.07283424980387258,0.021132837345560714,0.6354680207231365,0.5243794207710541,43.75,50.0,1.3146953197808993
2021Q3,66,29,0.09047240792638767,0.27455112933844705,-0.21563786014858907,-0.42152286521782695,56.060606060606055,40.909090909090914,-0.6658520096038629
2021Q4,65,26,0.22604975411175093,0.05177259392907777,-0.2414065244125639,-0.18487339958665808,52.307692307692314,47.69230769230769,0.20933398194269678
2022Q1,64,33,0.012611782359032396,-0.2297365925516241,0.07908065886903413,0.830580315300285,43.75,56.25,-0.18575254527194857
2022Q2,64,32,0.050298885836211504,-0.15524714535115597,-0.442189432499439,0.6309297950112251,45.3125,39.0625,0.05712997833810002
2022Q3,66,41,0.07328868330656665,0.2644208310079465,-0.3385638025453426,0.23708896449629036,59.09090909090909,56.060606060606055,0.13426289324576823
2022Q4,64,34,-0.12202114665596381,-0.23809816315450227,-1.5812122166513647,-0.8749082876664929,37.5,32.8125,-1.6703752689225964
2023Q1,64,17,0.08529798324075044,0.02673454168566651,0.46600641267924714,0.8401182839196559,51.5625,50.0,-0.0548124375036866
2023Q2,64,29,-0.09297910647591623,-0.16799262846975307,-0.29953492534049636,-0.029508228865560815,46.875,42.1875,-0.8412550752502164
2023Q3,65,21,-0.06436633669321835,0.006284148572949312,0.09926672840529675,-0.2597082945304466,50.76923076923077,47.69230769230769,-0.12447597639082203
2023Q4,64,31,0.06535645918108413,0.19210142304776562,0.6136973025523358,0.9888593617185102,48.4375,57.8125,0.5927093271679849
2024Q1,63,27,-0.054943554612464494,-0.06102196378601461,-0.3883968930373953,-0.4477933273590542,47.61904761904761,52.38095238095239,-0.27963958242712944
2024Q2,65,36,0.16335372570399614,0.06816595975723154,0.20915807451691176,-0.10702283133042828,46.15384615384615,43.07692307692308,0.11431073644884204
2024Q3,66,28,-0.04742796888529243,0.1589755844616355,0.048647907642991296,0.6695548991879765,46.96969696969697,50.0,-0.4519549840130213
2024Q4,65,34,0.022939261193400066,-0.11980916169831296,0.12519251207019572,0.2152313262344921,40.0,53.84615384615385,-0.19054016077329272
2025Q1,63,25,-0.261799557214986,-0.42913951019677604,0.12295538848423654,-0.2344201195290791,36.507936507936506,60.317460317460316,0.30508865202142776
2025Q2,64,33,0.0891417669230772,0.16334871558436315,0.32353635377906276,0.6133914414573215,56.25,56.25,0.11404134568556111
2025Q3,66,26,0.009006857895857033,0.055743354305171196,-0.061984940708814704,-0.2029359746971151,51.515151515151516,46.96969696969697,0.35480346081154424
2025Q4,65,38,-0.0912495393118478,-0.004535299688629068,-0.1731556466868728,0.38663562749071145,41.53846153846154,46.15384615384615,0.16578417998688424
2026Q1,63,20,0.032677446225034164,-0.07236379558206349,-0.04798540502170368,0.21711128284455392,41.269841269841265,42.857142857142854,-0.7107392550472612
2026Q2,64,24,0.06402237901500482,0.041385891349173726,-0.15946621689421955,0.2909441188475112,51.5625,53.125,-0.15028539859127235
