year,is_full_calendar_year,event_count,mean_signed_atr_1h,median_signed_atr_1h,mean_signed_atr_2h,median_signed_atr_2h,mean_signed_atr_4h,median_signed_atr_4h,mean_signed_atr_8h,median_signed_atr_8h,cont_prob_2h,cont_prob_4h,is_positive_4h
2018,False,195,0.08547006299257631,0.03220241518110911,0.0910098384209121,0.005998286203936413,0.39156681923952197,0.0,0.6624212435664419,0.00938337801607721,50.256410256410255,49.743589743589745,True
2019,True,258,0.025989773633568164,0.02954729329341796,0.08762177017185156,0.014862001336332392,0.0380222660108413,-0.09840813606221119,0.10581700251513437,0.10215427380126786,50.3875968992248,47.286821705426355,True
2020,True,259,0.0335521520876657,0.013645224171527486,-0.05809151533354496,-0.10389140271495373,0.146414646862187,-0.0804164422904727,0.34427558321888907,0.12162581445866581,47.10424710424711,48.64864864864865,True
2021,True,258,0.09017615620296393,0.07341646245997219,0.0848131310506706,0.021271401111457332,0.12015488388100827,-0.05024997124828689,0.11955097940098454,0.11573061026012257,50.3875968992248,48.06201550387597,True
2022,True,258,0.004085203398245455,0.01806451612901572,-0.08692041403543256,-0.11264978973729362,-0.5689215284729685,-0.30417040347160795,0.20616429575983056,0.17746318590586396,46.51162790697674,46.12403100775194,False
2023,True,257,-0.0019166941031922968,0.01573033707863789,0.014250751665825538,-0.028688524590137963,0.219389649413906,-0.0150797070228896,0.38243192034617784,-0.14249363867686166,49.416342412451364,49.416342412451364,True
2024,True,259,0.021302526105467904,0.030993042378213535,0.012707323280998961,-0.09999999999997933,0.0018322230549942845,-0.0,0.0888540381913135,0.10935601458086888,45.173745173745175,49.80694980694981,True
2025,True,258,-0.06250025757988652,-0.046681086865446884,-0.05115195519619085,-0.08171289655500462,0.05079997284859852,0.12313060427391442,0.13982663097858408,-0.02659430122114277,46.51162790697674,52.32558139534884,True
2026,False,127,0.04847331786722411,-0.04162378501997388,-0.015041118703329763,-0.04119754350051487,-0.10416471179210543,-0.08001693480105446,0.2540277008460325,0.0449723155733306,46.45669291338583,48.031496062992126,False
