horizon,all_count,all_mean_atr,all_median_atr,all_cont_prob,mod_count,mod_mean_atr,mod_median_atr,mod_cont_prob,str_count,str_mean_atr,str_median_atr,str_cont_prob
30m,2129,0.031342767097888406,0.01857174441747545,51.29168623767026,1345,0.036644522827179664,0.02379738228792671,52.118959107806695,1002,0.03779297795500491,0.03474874580777898,52.8942115768463
1h,2129,0.024160296307727994,0.014213197969530352,50.63410051667449,1345,0.036903724891790564,0.033645758231214726,52.118959107806695,1002,0.050815567823471,0.05464162852217151,53.49301397205589
2h,2129,0.007801863366329086,-0.04547094911580124,48.05072804133396,1345,0.0022412836034115357,-0.05682546464425488,47.43494423791822,1002,0.024408765769366052,-0.05467967979102474,47.604790419161674
4h,2129,0.030549569696121617,-0.04865188735769322,48.8492249882574,1345,-0.013717885691486421,-0.0861966236345419,48.3271375464684,1002,0.00035308642026351915,-0.04484595445397785,48.902195608782435
8h,2097,0.24336195460926932,0.046428571428529145,50.40534096328088,1325,0.12883788939349694,-0.23595505617981405,47.54716981132076,989,0.10945280978742022,-0.24105461393593028,47.52275025278059
day_close,2129,0.251593424140563,0.10957254665860476,51.103804603100045,1345,0.11644758041545718,-0.05899394258628245,49.21933085501859,1002,0.0921463545897829,-0.11395088515639812,48.40319361277445
