horizon,n_resamples,sample_mean_atr,ci_2.5_pct,ci_50.0_pct_median,ci_97.5_pct,ci_width,p_strictly_positive
1h,2000,0.024160296307727994,-0.01046478092096628,0.02447757792943371,0.058380155970846906,0.06884493689181319,91.3
2h,2000,0.007801863366329086,-0.05130381322174089,0.00882385234623767,0.06996006682981941,0.1212638800515603,60.75000000000001
4h,2000,0.030549569696121617,-0.12882120220534876,0.03110385705916411,0.16112663788836173,0.2899478400937105,67.45
8h,2000,0.2433619546092693,0.07453559979119137,0.24567035392351416,0.41401744964390247,0.3394818498527111,99.8
