omitted_year,remaining_events,mean_signed_atr_1h,mean_signed_atr_2h,mean_signed_atr_4h,diff_from_baseline_4h,sign_stable_4h
2019,1549,0.014144051380892505,-0.014094865083394498,-0.005097690188420578,-0.00615658478107884,False
2020,1548,0.012871117439119926,0.010219104109526984,-0.02326096318370341,-0.024319857776361673,False
2021,1549,0.0034532271698504693,-0.013627060762371464,-0.01877762266776409,-0.019836517260422355,False
2022,1549,0.01779245623609796,0.014976718858167348,0.09599430398641666,0.0949354093937584,True
2023,1550,0.018778766174828057,-0.001863853218037126,-0.035141753142219526,-0.036200647734877786,False
2024,1548,0.014920634964565162,-0.0016264380100898686,0.0009295069494121608,-0.0001293876432461018,True
2025,1549,0.028882868716638987,0.009019157605407906,-0.0072259331607520206,-0.008284827753410284,False
